employee_id,age,salary,region,department,years_experience,is_manager,bonus_pct,hire_date
E060,39,70000,East,Marketing,11,False,0.11,2012-08-12
E061,31,52000,North,Sales,5,False,0.06,2019-04-20
E062,35,65000,South,Engineering,8,True,0.10,2015-01-28
E063,28,45000,West,Sales,2,False,0.05,2022-09-07
E064,40,74000,East,Engineering,14,True,0.13,2009-05-22
E065,33,58000,North,Marketing,6,False,0.06,2017-03-15
E066,44,78000,South,Engineering,15,True,0.13,2008-02-10
E067,,48000,West,Operations,3,False,0.05,2021-11-30
E068,37,62000,East,Marketing,8,False,0.08,2015-08-19
E069,42,72000,North,Engineering,12,True,0.12,2011-12-07
E070,29,48000,South,Sales,3,False,0.05,2021-03-22
E071,32,55000,West,Operations,6,False,0.06,2018-09-01
E072,38,68000,East,Marketing,9,False,0.08,2014-01-17
E073,45,85000,North,Engineering,18,True,0.15,2005-11-23
E074,27,42000,South,Sales,1,False,0.04,2023-01-30
E075,36,60000,West,Operations,7,False,0.07,2016-07-14
E076,41,75000,East,Engineering,13,True,0.12,2010-04-05
E077,30,50000,North,Sales,4,False,0.05,2020-12-22
E078,35,65000,South,Engineering,8,True,0.10,2015-02-14
E079,43,76000,West,Engineering,14,True,0.12,2009-08-18
E080,28,45000,East,Sales,2,False,0.05,2022-05-25
E081,39,70000,North,Engineering,11,True,0.11,2012-09-04
E082,,55000,South,Marketing,6,False,0.06,2017-06-11
E083,34,59000,West,Operations,7,False,0.07,2016-03-28
E084,44,78000,East,Engineering,15,True,0.13,2008-11-19
E085,26,40000,North,Operations,1,False,0.03,2023-04-12
E086,37,62000,South,Marketing,8,False,0.08,2015-09-26
E087,33,58000,West,Operations,6,False,0.06,2017-12-08
E088,42,72000,East,Engineering,12,True,0.12,2011-01-31
E089,29,48000,North,Sales,3,False,0.05,2021-07-09
E090,31,52000,South,Marketing,5,False,0.06,2019-08-17
E091,45,85000,West,Engineering,18,True,0.15,2005-10-12
E092,28,45000,East,Sales,2,False,0.05,2022-03-19
E093,36,60000,North,Operations,7,False,0.07,2016-05-30
E094,40,74000,South,Engineering,14,True,0.13,2009-02-08
E095,30,50000,West,Marketing,4,False,0.05,2020-11-03
E096,,68000,East,Marketing,9,False,0.08,2014-06-22
E097,38,68000,North,Operations,9,False,0.08,2014-10-14
E098,35,65000,South,Engineering,8,True,0.10,2015-04-20
E099,43,76000,West,Engineering,14,True,0.12,2009-06-01
E100,28,45000,East,Sales,2,False,0.05,2022-08-14
E101,32,55000,North,Operations,6,False,0.06,2018-01-10
E102,37,62000,South,Marketing,8,False,0.08,2015-10-02
E103,44,78000,West,Engineering,15,True,0.13,2008-07-15
E104,26,40000,East,Operations,1,False,0.03,2023-11-08
E105,39,70000,North,Engineering,11,True,0.11,2012-02-27
E106,29,48000,South,Sales,3,False,0.05,2021-09-18
E107,34,59000,West,Operations,7,False,0.07,2016-08-05
E108,,78000,East,Engineering,15,True,0.13,2008-03-20
E109,42,72000,North,Engineering,12,True,0.12,2011-11-14
E110,30,50000,South,Marketing,4,False,0.05,2020-02-09
E111,35,65000,West,Engineering,8,True,0.10,2015-05-28
E112,40,74000,East,Engineering,14,True,0.13,2009-09-11
E113,28,45000,North,Sales,2,False,0.05,2022-07-22
E114,36,60000,South,Operations,7,False,0.07,2016-06-19
E115,37,62000,West,Marketing,8,False,0.08,2015-12-30
E116,,55000,East,Operations,6,False,0.06,2018-08-07
E117,33,58000,North,Marketing,6,False,0.06,2017-04-14
E118,43,76000,South,Engineering,14,True,0.12,2009-01-05
E119,27,42000,West,Sales,1,False,0.04,2023-02-16
E120,31,52000,East,Marketing,5,False,0.06,2019-09-24
E121,45,85000,North,Engineering,18,True,0.15,2005-12-01
E122,29,48000,South,Sales,3,False,0.05,2021-10-26
E123,35,65000,West,Engineering,8,True,0.10,2015-03-11
E124,38,68000,East,Marketing,9,False,0.08,2014-07-19
E125,32,55000,North,Operations,6,False,0.06,2018-04-02
E126,42,72000,South,Engineering,12,True,0.12,2011-08-28
E127,28,45000,West,Sales,2,False,0.05,2022-10-12
E128,36,60000,East,Operations,7,False,0.07,2016-09-24
E129,41,75000,North,Engineering,13,True,0.12,2010-07-15
E130,30,50000,South,Sales,4,False,0.05,2020-03-21
E131,,65000,West,Engineering,8,True,0.10,2015-06-09
E132,39,70000,East,Engineering,11,True,0.11,2012-10-16
E133,34,59000,North,Operations,7,False,0.07,2016-11-02
E134,44,78000,South,Engineering,15,True,0.13,2008-09-07
E135,26,40000,West,Operations,1,False,0.03,2023-12-20
E136,37,62000,East,Marketing,8,False,0.08,2015-01-14
E137,33,58000,North,Marketing,6,False,0.06,2017-05-22
E138,43,76000,South,Engineering,14,True,0.12,2009-04-09
E139,28,45000,West,Sales,2,False,0.05,2022-12-04
E140,31,52000,East,Marketing,5,False,0.06,2019-10-29
E141,35,65000,North,Engineering,8,True,0.10,2015-07-18
E142,40,74000,South,Engineering,14,True,0.13,2009-03-25
E143,29,48000,West,Sales,3,False,0.05,2021-05-14
E144,,55000,East,Operations,6,False,0.06,2018-06-23
E145,32,58000,North,Marketing,6,False,0.06,2017-02-08
E146,38,68000,South,Operations,9,False,0.08,2014-04-16
E147,45,85000,West,Engineering,18,True,0.15,2005-09-11
E148,27,42000,East,Sales,1,False,0.04,2023-06-19
E149,36,60000,North,Operations,7,False,0.07,2016-01-27
E150,42,72000,South,Engineering,12,True,0.12,2011-09-05
E151,2500000,500000,North,Engineering,25,True,0.25,2000-01-01
